Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.82,-.40,-.47,-.67,-.37,-.49,-.48,.07,-.50,-.68,-.51,-.54,-.49,***,***,-.50,-.30,-.56
1881,-.78,-.62,-.36,-.26,-.03,-1.12,-.55,-.26,-.36,-.49,-.56,-.15,-.46,-.50,-.65,-.22,-.65,-.47
1882,.11,-.12,-.09,-.60,-.38,-1.03,-.71,-.12,-.08,-.32,-.40,-.68,-.37,-.32,-.05,-.36,-.62,-.27
1883,-.68,-.95,-.46,-.32,-.36,.44,-.03,-.17,-.47,-.58,-.69,-.41,-.39,-.41,-.77,-.38,.08,-.58
1884,-.62,-.35,-.40,-.95,-1.20,-.84,-.85,.14,-.38,-.79,-.83,-1.00,-.67,-.62,-.46,-.85,-.52,-.66
1885,-.92,-.79,-.91,-.87,-.49,-.93,-.61,-.16,-.15,-.03,-.38,.02,-.52,-.60,-.90,-.76,-.57,-.19
1886,-.76,-.82,-.68,-.62,-.55,-.82,-.39,-.73,-.42,-.86,-.49,-.74,-.66,-.59,-.52,-.62,-.65,-.59
1887,-.89,-1.29,-.61,-.86,-.88,-.69,-.43,-.28,-.64,-.58,-.94,-.68,-.73,-.73,-.97,-.78,-.46,-.72
1888,-.77,-.86,-.95,-.35,-.80,-.60,-.39,-.39,-.45,-.32,-.10,-.29,-.52,-.55,-.77,-.70,-.46,-.29
1889,-.36,.11,.03,.07,.03,-.30,-.47,-.63,-.41,-.25,-.47,-.46,-.26,-.25,-.18,.04,-.47,-.38
1890,-.63,-.66,-.64,-.55,-.94,-.59,-.62,-.63,-.36,-.28,-.78,-.54,-.60,-.59,-.58,-.71,-.61,-.48
1891,-.97,-1.09,-.54,-.69,-.50,-.59,-.75,-.59,-.53,-.59,-.59,.00,-.62,-.66,-.87,-.58,-.64,-.57
1892,-.65,-.34,-.60,-.73,-.68,-.58,-.39,-.28,-.48,-.36,-.64,-.61,-.53,-.48,-.33,-.67,-.42,-.49
1893,-1.44,-1.01,-.61,-.68,-.75,-.69,-.17,-.37,-.28,-.11,-.16,-.40,-.56,-.57,-1.02,-.68,-.41,-.18
1894,-.88,-.65,-.44,-.68,-.69,-.51,-.40,-.34,-.45,-.12,-.18,-.20,-.46,-.48,-.64,-.60,-.41,-.25
1895,-.71,-.82,-.53,-.50,-.32,-.31,-.55,-.21,-.16,-.12,-.18,-.10,-.38,-.38,-.58,-.45,-.36,-.16
1896,-.25,-.30,-.55,-.49,-.46,-.48,-.23,-.40,-.13,-.05,-.47,-.24,-.34,-.33,-.22,-.50,-.37,-.22
1897,-.29,-.52,-.33,-.13,-.28,-.19,-.13,-.33,-.16,-.25,-.02,-.24,-.24,-.24,-.35,-.24,-.21,-.14
1898,-.14,-.45,-.83,-.59,-.65,-.33,-.37,-.25,-.04,-.42,-.51,-.22,-.40,-.40,-.28,-.69,-.32,-.33
1899,-.44,-.62,-.38,-.27,-.42,-.55,-.32,-.30,-.03,-.29,-.03,-.23,-.32,-.32,-.43,-.36,-.39,-.12
1900,-.55,-.06,-.18,-.17,-.18,-.13,-.37,-.17,-.09,.13,-.13,-.06,-.16,-.18,-.28,-.18,-.22,-.03
1901,-.20,-.12,-.11,-.09,-.21,.01,-.27,-.23,.01,-.18,-.14,-.23,-.15,-.13,-.13,-.14,-.16,-.10
